Easting,Northing
424326.299190,4533194.035009
424326.299190,4533199.035009
424326.299190,4533204.035009
424326.299190,4533209.035009
424326.299190,4533214.035009
424326.299190,4533219.035009
424326.299190,4533224.035009
424326.299190,4533229.035009
424326.299190,4533234.035009
424326.299190,4533239.035009
424326.299190,4533244.035009
424326.299190,4533249.035009
424326.299190,4533254.035009
424326.299190,4533259.035009
424326.299190,4533264.035009
424326.299190,4533269.035009
424326.299190,4533274.035009
424326.299190,4533279.035009
424326.299190,4533284.035009
424326.299190,4533289.035009
424326.299190,4533294.035009
424326.299190,4533299.035009
424326.299190,4533304.035009
424326.299190,4533309.035009
424326.299190,4533314.035009
424326.299190,4533319.035009
424326.299190,4533324.035009
424326.299190,4533329.035009
424326.299190,4533334.035009
424326.299190,4533339.035009
424326.299190,4533344.035009
424326.299190,4533349.035009
424326.299190,4533354.035009
424326.299190,4533359.035009
424326.299190,4533364.035009
424326.299190,4533369.035009
424326.299190,4533374.035009
424331.299190,4533034.035009
424331.299190,4533039.035009
424331.299190,4533044.035009
424331.299190,4533049.035009
424331.299190,4533054.035009
424331.299190,4533059.035009
424331.299190,4533064.035009
424331.299190,4533069.035009
424331.299190,4533074.035009
424331.299190,4533079.035009
424331.299190,4533084.035009
424331.299190,4533089.035009
424331.299190,4533094.035009
424331.299190,4533099.035009
424331.299190,4533104.035009
424331.299190,4533109.035009
424331.299190,4533114.035009
424331.299190,4533119.035009
424331.299190,4533124.035009
424331.299190,4533129.035009
424331.299190,4533134.035009
424331.299190,4533139.035009
424331.299190,4533144.035009
424331.299190,4533149.035009
424331.299190,4533154.035009
424331.299190,4533159.035009
424331.299190,4533164.035009
424331.299190,4533169.035009
424331.299190,4533174.035009
424331.299190,4533179.035009
424331.299190,4533184.035009
424331.299190,4533189.035009
424331.299190,4533194.035009
424331.299190,4533199.035009
424331.299190,4533204.035009
424331.299190,4533209.035009
424331.299190,4533214.035009
424331.299190,4533219.035009
424331.299190,4533224.035009
424331.299190,4533229.035009
424331.299190,4533234.035009
424331.299190,4533239.035009
424331.299190,4533244.035009
424331.299190,4533249.035009
424331.299190,4533254.035009
424331.299190,4533259.035009
424331.299190,4533264.035009
424331.299190,4533269.035009
424331.299190,4533274.035009
424331.299190,4533279.035009
424331.299190,4533284.035009
424331.299190,4533289.035009
424331.299190,4533294.035009
424331.299190,4533299.035009
424331.299190,4533304.035009
424331.299190,4533309.035009
424331.299190,4533314.035009
424331.299190,4533319.035009
424331.299190,4533324.035009
424331.299190,4533329.035009
424331.299190,4533334.035009
424331.299190,4533339.035009
424331.299190,4533344.035009
424331.299190,4533349.035009
424331.299190,4533354.035009
424331.299190,4533359.035009
424331.299190,4533364.035009
424331.299190,4533369.035009
424336.299190,4533034.035009
424336.299190,4533039.035009
424336.299190,4533044.035009
424336.299190,4533049.035009
424336.299190,4533054.035009
424336.299190,4533059.035009
424336.299190,4533064.035009
424336.299190,4533069.035009
424336.299190,4533074.035009
424336.299190,4533079.035009
424336.299190,4533084.035009
424336.299190,4533089.035009
424336.299190,4533094.035009
424336.299190,4533099.035009
424336.299190,4533104.035009
424336.299190,4533109.035009
424336.299190,4533114.035009
424336.299190,4533119.035009
424336.299190,4533124.035009
424336.299190,4533129.035009
424336.299190,4533134.035009
424336.299190,4533139.035009
424336.299190,4533144.035009
424336.299190,4533149.035009
424336.299190,4533154.035009
424336.299190,4533159.035009
424336.299190,4533164.035009
424336.299190,4533169.035009
424336.299190,4533174.035009
424336.299190,4533179.035009
424336.299190,4533184.035009
424336.299190,4533189.035009
424336.299190,4533194.035009
424336.299190,4533199.035009
424336.299190,4533204.035009
424336.299190,4533209.035009
424336.299190,4533214.035009
424336.299190,4533219.035009
424336.299190,4533224.035009
424336.299190,4533229.035009
424336.299190,4533234.035009
424336.299190,4533239.035009
424336.299190,4533244.035009
424336.299190,4533249.035009
424336.299190,4533254.035009
424336.299190,4533259.035009
424336.299190,4533264.035009
424336.299190,4533269.035009
424336.299190,4533274.035009
424336.299190,4533279.035009
424336.299190,4533284.035009
424336.299190,4533289.035009
424336.299190,4533294.035009
424336.299190,4533299.035009
424336.299190,4533304.035009
424336.299190,4533309.035009
424336.299190,4533314.035009
424336.299190,4533319.035009
424336.299190,4533324.035009
424336.299190,4533329.035009
424336.299190,4533334.035009
424336.299190,4533339.035009
424336.299190,4533344.035009
424336.299190,4533349.035009
424336.299190,4533354.035009
424336.299190,4533359.035009
424336.299190,4533364.035009
424336.299190,4533369.035009
424341.299190,4533029.035009
424341.299190,4533034.035009
424341.299190,4533039.035009
424341.299190,4533044.035009
424341.299190,4533049.035009
424341.299190,4533054.035009
424341.299190,4533059.035009
424341.299190,4533064.035009
424341.299190,4533069.035009
424341.299190,4533074.035009
424341.299190,4533079.035009
424341.299190,4533084.035009
424341.299190,4533089.035009
424341.299190,4533094.035009
424341.299190,4533099.035009
424341.299190,4533104.035009
424341.299190,4533109.035009
424341.299190,4533114.035009
424341.299190,4533119.035009
424341.299190,4533124.035009
424341.299190,4533129.035009
424341.299190,4533134.035009
424341.299190,4533139.035009
424341.299190,4533144.035009
424341.299190,4533149.035009
424341.299190,4533154.035009
424341.299190,4533159.035009
424341.299190,4533164.035009
424341.299190,4533169.035009
424341.299190,4533174.035009
424341.299190,4533179.035009
424341.299190,4533184.035009
424341.299190,4533189.035009
424341.299190,4533194.035009
424341.299190,4533199.035009
424341.299190,4533204.035009
424341.299190,4533209.035009
424341.299190,4533214.035009
424341.299190,4533219.035009
424341.299190,4533224.035009
424341.299190,4533229.035009
424341.299190,4533234.035009
424341.299190,4533239.035009
424341.299190,4533244.035009
424341.299190,4533249.035009
424341.299190,4533254.035009
424341.299190,4533259.035009
424341.299190,4533264.035009
424341.299190,4533269.035009
424341.299190,4533274.035009
424341.299190,4533279.035009
424341.299190,4533284.035009
424341.299190,4533289.035009
424341.299190,4533294.035009
424341.299190,4533299.035009
424341.299190,4533304.035009
424341.299190,4533309.035009
424341.299190,4533314.035009
424341.299190,4533319.035009
424341.299190,4533324.035009
424341.299190,4533329.035009
424341.299190,4533334.035009
424341.299190,4533339.035009
424341.299190,4533344.035009
424341.299190,4533349.035009
424341.299190,4533354.035009
424341.299190,4533359.035009
424341.299190,4533364.035009
424341.299190,4533369.035009
424346.299190,4533029.035009
424346.299190,4533034.035009
424346.299190,4533039.035009
424346.299190,4533044.035009
424346.299190,4533049.035009
424346.299190,4533054.035009
424346.299190,4533059.035009
424346.299190,4533064.035009
424346.299190,4533069.035009
424346.299190,4533074.035009
424346.299190,4533079.035009
424346.299190,4533084.035009
424346.299190,4533089.035009
424346.299190,4533094.035009
424346.299190,4533099.035009
424346.299190,4533104.035009
424346.299190,4533109.035009
424346.299190,4533114.035009
424346.299190,4533119.035009
424346.299190,4533124.035009
424346.299190,4533129.035009
424346.299190,4533134.035009
424346.299190,4533139.035009
424346.299190,4533144.035009
424346.299190,4533149.035009
424346.299190,4533154.035009
424346.299190,4533159.035009
424346.299190,4533164.035009
424346.299190,4533169.035009
424346.299190,4533174.035009
424346.299190,4533179.035009
424346.299190,4533184.035009
424346.299190,4533189.035009
424346.299190,4533194.035009
424346.299190,4533199.035009
424346.299190,4533204.035009
424346.299190,4533209.035009
424346.299190,4533214.035009
424346.299190,4533219.035009
424346.299190,4533224.035009
424346.299190,4533229.035009
424346.299190,4533234.035009
424346.299190,4533239.035009
424346.299190,4533244.035009
424346.299190,4533249.035009
424346.299190,4533254.035009
424346.299190,4533259.035009
424346.299190,4533264.035009
424346.299190,4533269.035009
424346.299190,4533274.035009
424346.299190,4533279.035009
424346.299190,4533284.035009
424346.299190,4533289.035009
424346.299190,4533294.035009
424346.299190,4533299.035009
424346.299190,4533304.035009
424346.299190,4533309.035009
424346.299190,4533314.035009
424346.299190,4533319.035009
424346.299190,4533324.035009
424346.299190,4533329.035009
424346.299190,4533334.035009
424346.299190,4533339.035009
424346.299190,4533344.035009
424346.299190,4533349.035009
424346.299190,4533354.035009
424346.299190,4533359.035009
424346.299190,4533364.035009
424346.299190,4533369.035009
424351.299190,4533029.035009
424351.299190,4533034.035009
424351.299190,4533039.035009
424351.299190,4533044.035009
424351.299190,4533049.035009
424351.299190,4533054.035009
424351.299190,4533059.035009
424351.299190,4533064.035009
424351.299190,4533069.035009
424351.299190,4533074.035009
424351.299190,4533079.035009
424351.299190,4533084.035009
424351.299190,4533089.035009
424351.299190,4533094.035009
424351.299190,4533099.035009
424351.299190,4533104.035009
424351.299190,4533109.035009
424351.299190,4533114.035009
424351.299190,4533119.035009
424351.299190,4533124.035009
424351.299190,4533129.035009
424351.299190,4533134.035009
424351.299190,4533139.035009
424351.299190,4533144.035009
424351.299190,4533149.035009
424351.299190,4533154.035009
424351.299190,4533159.035009
424351.299190,4533164.035009
424351.299190,4533169.035009
424351.299190,4533174.035009
424351.299190,4533179.035009
424351.299190,4533184.035009
424351.299190,4533189.035009
424351.299190,4533194.035009
424351.299190,4533199.035009
424351.299190,4533204.035009
424351.299190,4533209.035009
424351.299190,4533214.035009
424351.299190,4533219.035009
424351.299190,4533224.035009
424351.299190,4533229.035009
424351.299190,4533234.035009
424351.299190,4533239.035009
424351.299190,4533244.035009
424351.299190,4533249.035009
424351.299190,4533254.035009
424351.299190,4533259.035009
424351.299190,4533264.035009
424351.299190,4533269.035009
424351.299190,4533274.035009
424351.299190,4533279.035009
424351.299190,4533284.035009
424351.299190,4533289.035009
424351.299190,4533294.035009
424351.299190,4533299.035009
424351.299190,4533304.035009
424351.299190,4533309.035009
424351.299190,4533314.035009
424351.299190,4533319.035009
424351.299190,4533324.035009
424351.299190,4533329.035009
424351.299190,4533334.035009
424351.299190,4533339.035009
424351.299190,4533344.035009
424351.299190,4533349.035009
424351.299190,4533354.035009
424351.299190,4533359.035009
424351.299190,4533364.035009
424356.299190,4533029.035009
424356.299190,4533034.035009
424356.299190,4533039.035009
424356.299190,4533044.035009
424356.299190,4533049.035009
424356.299190,4533054.035009
424356.299190,4533059.035009
424356.299190,4533064.035009
424356.299190,4533069.035009
424356.299190,4533074.035009
424356.299190,4533079.035009
424356.299190,4533084.035009
424356.299190,4533089.035009
424356.299190,4533094.035009
424356.299190,4533099.035009
424356.299190,4533104.035009
424356.299190,4533109.035009
424356.299190,4533114.035009
424356.299190,4533119.035009
424356.299190,4533124.035009
424356.299190,4533129.035009
424356.299190,4533134.035009
424356.299190,4533139.035009
424356.299190,4533144.035009
424356.299190,4533149.035009
424356.299190,4533154.035009
424356.299190,4533159.035009
424356.299190,4533164.035009
424356.299190,4533169.035009
424356.299190,4533174.035009
424356.299190,4533179.035009
424356.299190,4533184.035009
424356.299190,4533189.035009
424356.299190,4533194.035009
424356.299190,4533199.035009
424356.299190,4533204.035009
424356.299190,4533209.035009
424356.299190,4533214.035009
424356.299190,4533219.035009
424356.299190,4533224.035009
424356.299190,4533229.035009
424356.299190,4533234.035009
424356.299190,4533239.035009
424356.299190,4533244.035009
424356.299190,4533249.035009
424356.299190,4533254.035009
424356.299190,4533259.035009
424356.299190,4533264.035009
424356.299190,4533269.035009
424356.299190,4533274.035009
424356.299190,4533279.035009
424356.299190,4533284.035009
424356.299190,4533289.035009
424356.299190,4533294.035009
424356.299190,4533299.035009
424356.299190,4533304.035009
424356.299190,4533309.035009
424356.299190,4533314.035009
424356.299190,4533319.035009
424356.299190,4533324.035009
424356.299190,4533329.035009
424356.299190,4533334.035009
424356.299190,4533339.035009
424356.299190,4533344.035009
424356.299190,4533349.035009
424356.299190,4533354.035009
424356.299190,4533359.035009
424356.299190,4533364.035009
424361.299190,4533029.035009
424361.299190,4533034.035009
424361.299190,4533039.035009
424361.299190,4533044.035009
424361.299190,4533049.035009
424361.299190,4533054.035009
424361.299190,4533059.035009
424361.299190,4533064.035009
424361.299190,4533069.035009
424361.299190,4533074.035009
424361.299190,4533079.035009
424361.299190,4533084.035009
424361.299190,4533089.035009
424361.299190,4533094.035009
424361.299190,4533099.035009
424361.299190,4533104.035009
424361.299190,4533109.035009
424361.299190,4533114.035009
424361.299190,4533119.035009
424361.299190,4533124.035009
424361.299190,4533129.035009
424361.299190,4533134.035009
424361.299190,4533139.035009
424361.299190,4533144.035009
424361.299190,4533149.035009
424361.299190,4533154.035009
424361.299190,4533159.035009
424361.299190,4533164.035009
424361.299190,4533169.035009
424361.299190,4533174.035009
424361.299190,4533179.035009
424361.299190,4533184.035009
424361.299190,4533189.035009
424361.299190,4533194.035009
424361.299190,4533199.035009
424361.299190,4533204.035009
424361.299190,4533209.035009
424361.299190,4533214.035009
424361.299190,4533219.035009
424361.299190,4533224.035009
424361.299190,4533229.035009
424361.299190,4533234.035009
424361.299190,4533239.035009
424361.299190,4533244.035009
424361.299190,4533249.035009
424361.299190,4533254.035009
424361.299190,4533259.035009
424361.299190,4533264.035009
424361.299190,4533269.035009
424361.299190,4533274.035009
424361.299190,4533279.035009
424361.299190,4533284.035009
424361.299190,4533289.035009
424361.299190,4533294.035009
424361.299190,4533299.035009
424361.299190,4533304.035009
424361.299190,4533309.035009
424361.299190,4533314.035009
424361.299190,4533319.035009
424361.299190,4533324.035009
424361.299190,4533329.035009
424361.299190,4533334.035009
424361.299190,4533339.035009
424361.299190,4533344.035009
424361.299190,4533349.035009
424361.299190,4533354.035009
424361.299190,4533359.035009
424361.299190,4533364.035009
424366.299190,4533029.035009
424366.299190,4533034.035009
424366.299190,4533039.035009
424366.299190,4533044.035009
424366.299190,4533049.035009
424366.299190,4533054.035009
424366.299190,4533059.035009
424366.299190,4533064.035009
424366.299190,4533069.035009
424366.299190,4533074.035009
424366.299190,4533079.035009
424366.299190,4533084.035009
424366.299190,4533089.035009
424366.299190,4533094.035009
424366.299190,4533099.035009
424366.299190,4533104.035009
424366.299190,4533109.035009
424366.299190,4533114.035009
424366.299190,4533119.035009
424366.299190,4533124.035009
424366.299190,4533129.035009
424366.299190,4533134.035009
424366.299190,4533139.035009
424366.299190,4533144.035009
424366.299190,4533149.035009
424366.299190,4533154.035009
424366.299190,4533159.035009
424366.299190,4533164.035009
424366.299190,4533169.035009
424366.299190,4533174.035009
424366.299190,4533179.035009
424366.299190,4533184.035009
424366.299190,4533189.035009
424366.299190,4533194.035009
424366.299190,4533199.035009
424366.299190,4533204.035009
424366.299190,4533209.035009
424366.299190,4533214.035009
424366.299190,4533219.035009
424366.299190,4533224.035009
424366.299190,4533229.035009
424366.299190,4533234.035009
424366.299190,4533239.035009
424366.299190,4533244.035009
424366.299190,4533249.035009
424366.299190,4533254.035009
424366.299190,4533259.035009
424366.299190,4533264.035009
424366.299190,4533269.035009
424366.299190,4533274.035009
424366.299190,4533279.035009
424366.299190,4533284.035009
424366.299190,4533289.035009
424366.299190,4533294.035009
424366.299190,4533299.035009
424366.299190,4533304.035009
424366.299190,4533309.035009
424366.299190,4533314.035009
424366.299190,4533319.035009
424366.299190,4533324.035009
424366.299190,4533329.035009
424366.299190,4533334.035009
424366.299190,4533339.035009
424366.299190,4533344.035009
424366.299190,4533349.035009
424366.299190,4533354.035009
424366.299190,4533359.035009
424371.299190,4533029.035009
424371.299190,4533034.035009
424371.299190,4533039.035009
424371.299190,4533044.035009
424371.299190,4533049.035009
424371.299190,4533054.035009
424371.299190,4533059.035009
424371.299190,4533064.035009
424371.299190,4533069.035009
424371.299190,4533074.035009
424371.299190,4533079.035009
424371.299190,4533084.035009
424371.299190,4533089.035009
424371.299190,4533094.035009
424371.299190,4533099.035009
424371.299190,4533104.035009
424371.299190,4533109.035009
424371.299190,4533114.035009
424371.299190,4533119.035009
424371.299190,4533124.035009
424371.299190,4533129.035009
424371.299190,4533134.035009
424371.299190,4533139.035009
424371.299190,4533144.035009
424371.299190,4533149.035009
424371.299190,4533154.035009
424371.299190,4533159.035009
424371.299190,4533164.035009
424371.299190,4533169.035009
424371.299190,4533174.035009
424371.299190,4533179.035009
424371.299190,4533184.035009
424371.299190,4533189.035009
424371.299190,4533194.035009
424371.299190,4533199.035009
424371.299190,4533204.035009
424371.299190,4533209.035009
424371.299190,4533214.035009
424371.299190,4533219.035009
424371.299190,4533224.035009
424371.299190,4533229.035009
424371.299190,4533234.035009
424371.299190,4533239.035009
424371.299190,4533244.035009
424371.299190,4533249.035009
424371.299190,4533254.035009
424371.299190,4533259.035009
424371.299190,4533264.035009
424371.299190,4533269.035009
424371.299190,4533274.035009
424371.299190,4533279.035009
424371.299190,4533284.035009
424371.299190,4533289.035009
424371.299190,4533294.035009
424371.299190,4533299.035009
424371.299190,4533304.035009
424371.299190,4533309.035009
424371.299190,4533314.035009
424371.299190,4533319.035009
424371.299190,4533324.035009
424371.299190,4533329.035009
424371.299190,4533334.035009
424371.299190,4533339.035009
424371.299190,4533344.035009
424371.299190,4533349.035009
424371.299190,4533354.035009
424371.299190,4533359.035009
424376.299190,4533029.035009
424376.299190,4533034.035009
424376.299190,4533039.035009
424376.299190,4533044.035009
424376.299190,4533049.035009
424376.299190,4533054.035009
424376.299190,4533059.035009
424376.299190,4533064.035009
424376.299190,4533069.035009
424376.299190,4533074.035009
424376.299190,4533079.035009
424376.299190,4533084.035009
424376.299190,4533089.035009
424376.299190,4533094.035009
424376.299190,4533099.035009
424376.299190,4533104.035009
424376.299190,4533109.035009
424376.299190,4533114.035009
424376.299190,4533119.035009
424376.299190,4533124.035009
424376.299190,4533129.035009
424376.299190,4533134.035009
424376.299190,4533139.035009
424376.299190,4533144.035009
424376.299190,4533149.035009
424376.299190,4533154.035009
424376.299190,4533159.035009
424376.299190,4533164.035009
424376.299190,4533169.035009
424376.299190,4533174.035009
424376.299190,4533179.035009
424376.299190,4533184.035009
424376.299190,4533189.035009
424376.299190,4533194.035009
424376.299190,4533199.035009
424376.299190,4533204.035009
424376.299190,4533209.035009
424376.299190,4533214.035009
424376.299190,4533219.035009
424376.299190,4533224.035009
424376.299190,4533229.035009
424376.299190,4533234.035009
424376.299190,4533239.035009
424376.299190,4533244.035009
424376.299190,4533249.035009
424376.299190,4533254.035009
424376.299190,4533259.035009
424376.299190,4533264.035009
424376.299190,4533269.035009
424376.299190,4533274.035009
424376.299190,4533279.035009
424376.299190,4533284.035009
424376.299190,4533289.035009
424376.299190,4533294.035009
424376.299190,4533299.035009
424376.299190,4533304.035009
424376.299190,4533309.035009
424376.299190,4533314.035009
424376.299190,4533319.035009
424376.299190,4533324.035009
424376.299190,4533329.035009
424376.299190,4533334.035009
424376.299190,4533339.035009
424376.299190,4533344.035009
424376.299190,4533349.035009
424376.299190,4533354.035009
424381.299190,4533029.035009
424381.299190,4533034.035009
424381.299190,4533039.035009
424381.299190,4533044.035009
424381.299190,4533049.035009
424381.299190,4533054.035009
424381.299190,4533059.035009
424381.299190,4533064.035009
424381.299190,4533069.035009
424381.299190,4533074.035009
424381.299190,4533079.035009
424381.299190,4533084.035009
424381.299190,4533089.035009
424381.299190,4533094.035009
424381.299190,4533099.035009
424381.299190,4533104.035009
424381.299190,4533109.035009
424381.299190,4533114.035009
424381.299190,4533119.035009
424381.299190,4533124.035009
424381.299190,4533129.035009
424381.299190,4533134.035009
424381.299190,4533139.035009
424381.299190,4533144.035009
424381.299190,4533149.035009
424381.299190,4533154.035009
424381.299190,4533159.035009
424381.299190,4533164.035009
424381.299190,4533169.035009
424381.299190,4533174.035009
424381.299190,4533179.035009
424381.299190,4533184.035009
424381.299190,4533189.035009
424381.299190,4533194.035009
424381.299190,4533199.035009
424381.299190,4533204.035009
424381.299190,4533209.035009
424381.299190,4533214.035009
424381.299190,4533219.035009
424381.299190,4533224.035009
424381.299190,4533229.035009
424381.299190,4533234.035009
424381.299190,4533239.035009
424381.299190,4533244.035009
424381.299190,4533249.035009
424381.299190,4533254.035009
424381.299190,4533259.035009
424381.299190,4533264.035009
424381.299190,4533269.035009
